1980-12-31 18:14 (Wednesday) | Place: City30 | go do nothing.
1995-11-14 13:59 (Tuesday) | Place: City31 | go do nothing.
1928-01-02 13:12 (Monday) | Place: City17 | go do nothing.
1981-08-13 15:43 (Thursday) | Place: Ufa | go do nothing.
1990-06-05 14:21 (Tuesday) | Place: Astrakhan | go do nothing.
1905-02-13 17:04 (Monday) | Place: City3 | go do nothing.
2037-01-19 18:53 (Monday) | Place: Kazan | go do nothing.
2056-07-28 12:28 (Friday) | Place: Krasnoyarsk | go do nothing.
1931-02-06 09:45 (Friday) | Place: City21 | go do nothing.
1999-01-18 11:53 (Monday) | Place: Kemerovo | go do nothing.
2062-05-05 19:05 (Friday) | Place: Naberezhnye Chelny | go do nothing.
2049-04-19 16:24 (Monday) | Place: Izhevsk | go do nothing.
2002-07-09 10:43 (Tuesday) | Place: City25 | go do nothing.
1969-04-05 16:52 (Saturday) | Place: Kazan | go do nothing.
2004-07-27 10:31 (Tuesday) | Place: City27 | go do nothing.
2043-11-28 19:05 (Saturday) | Place: City4 | go do nothing.
2083-03-02 17:23 (Tuesday) | Place: Voronezh | go do nothing.
1936-11-17 16:18 (Tuesday) | Place: Khabarovsk | go do nothing.
1988-02-24 18:52 (Wednesday) | Place: City3 | go do nothing.
2092-01-13 18:49 (Sunday) | Place: Kaliningrad | go do nothing.
1947-12-20 10:12 (Saturday) | Place: Tyumen | go do nothing.
2050-06-28 10:15 (Tuesday) | Place: Perm | go do nothing.
2003-12-18 13:58 (Thursday) | Place: Naberezhnye Chelny | go do nothing.
2006-12-12 12:50 (Tuesday) | Place: Kemerovo | go do nothing.
2088-02-16 16:59 (Monday) | Place: City27 | go do nothing.
1952-05-29 16:14 (Thursday) | Place: Omsk | go do nothing.
2056-01-14 13:05 (Friday) | Place: Saratov | go do nothing.
2057-10-21 12:44 (Sunday) | Place: City13 | go do nothing.
1996-04-07 10:47 (Sunday) | Place: City7 | go do nothing.
2034-02-21 12:57 (Tuesday) | Place: City32 | go do nothing.
2094-12-29 18:21 (Wednesday) | Place: City6 | go do nothing.
2053-11-30 15:50 (Sunday) | Place: City1 | go do nothing.
2002-06-16 11:35 (Sunday) | Place: City12 | go do nothing.
2014-10-08 10:27 (Wednesday) | Place: City8 | go do nothing.
1995-12-09 13:49 (Saturday) | Place: Saratov | go do nothing.
1985-04-14 16:46 (Sunday) | Place: City30 | go do nothing.
1947-12-12 12:12 (Friday) | Place: Krasnoyarsk | go do nothing.
1903-10-05 12:44 (Monday) | Place: Moscow | go do nothing.
1926-08-16 09:59 (Monday) | Place: Vladivostok | go do nothing.
1981-07-30 10:39 (Thursday) | Place: Nizhny Novgorod | go do nothing.
2098-10-29 13:58 (Wednesday) | Place: Kemerovo | go do nothing.
2038-05-23 09:40 (Sunday) | Place: Krasnoyarsk | go do nothing.
1919-06-10 17:26 (Tuesday) | Place: Kazan | go do nothing.
2024-05-11 19:39 (Saturday) | Place: Barnaul | go do nothing.
2092-09-05 08:31 (Friday) | Place: Krasnodar | go do nothing.
2000-04-16 13:00 (Sunday) | Place: City23 | go do nothing.
2039-09-21 17:40 (Wednesday) | Place: Lipetsk | go do nothing.
2012-05-25 16:09 (Friday) | Place: Khabarovsk | go do nothing.
2080-07-10 11:05 (Wednesday) | Place: Orenburg | go do nothing.
2038-10-17 12:21 (Sunday) | Place: Orenburg | go do nothing.
2026-03-31 14:48 (Tuesday) | Place: Penza | go do nothing.
2096-06-02 13:39 (Saturday) | Place: Tomsk | go do nothing.
1929-11-13 18:07 (Wednesday) | Place: Kemerovo | go do nothing.
1946-02-17 12:29 (Sunday) | Place: City18 | go do nothing.
1953-12-16 18:20 (Wednesday) | Place: Rostov-on-Don | go do nothing.
1990-11-06 16:32 (Tuesday) | Place: Saratov | go do nothing.
2017-08-20 12:54 (Sunday) | Place: City16 | go do nothing.
1967-10-07 12:43 (Saturday) | Place: Naberezhnye Chelny | go do nothing.
1928-05-30 18:38 (Wednesday) | Place: Kemerovo | go do nothing.
2008-02-06 09:19 (Wednesday) | Place: City34 | go do nothing.
1928-01-09 13:36 (Monday) | Place: City25 | go do nothing.
2045-05-28 11:41 (Sunday) | Place: City34 | go do nothing.
2094-03-24 15:15 (Wednesday) | Place: Yekaterinburg | go do nothing.
1914-05-21 09:18 (Thursday) | Place: City8 | go do nothing.
1954-06-28 12:23 (Monday) | Place: City29 | go do nothing.
1996-10-02 08:52 (Wednesday) | Place: City28 | go do nothing.
1927-12-09 11:21 (Friday) | Place: City19 | go do nothing.
1941-09-17 11:19 (Wednesday) | Place: Tyumen | go do nothing.
2035-03-14 15:17 (Wednesday) | Place: Tyumen | go do nothing.
2046-10-09 10:12 (Tuesday) | Place: Kirov | go do nothing.
1936-04-30 10:26 (Thursday) | Place: Tula | go do nothing.
2040-07-18 16:43 (Wednesday) | Place: Volgograd | go do nothing.
1941-01-12 12:32 (Sunday) | Place: Ryazan | go do nothing.
2052-01-25 13:08 (Thursday) | Place: City34 | go do nothing.
2030-12-03 12:14 (Tuesday) | Place: City16 | go do nothing.
1934-05-24 13:37 (Thursday) | Place: Nizhny Novgorod | go do nothing.
2048-12-15 16:07 (Tuesday) | Place: Ufa | go do nothing.
2066-02-09 14:01 (Tuesday) | Place: Naberezhnye Chelny | go do nothing.
1977-09-09 10:08 (Friday) | Place: Chelyabinsk | go do nothing.
1951-07-07 17:13 (Saturday) | Place: Ryazan | go do nothing.
2047-08-08 11:17 (Thursday) | Place: Omsk | go do nothing.
2025-03-04 16:06 (Tuesday) | Place: Ulyanovsk | go do nothing.
1912-09-18 12:12 (Wednesday) | Place: Omsk | go do nothing.
2003-01-14 18:20 (Tuesday) | Place: Astrakhan | go do nothing.
1956-05-02 08:38 (Wednesday) | Place: City11 | go do nothing.
1937-01-06 10:47 (Wednesday) | Place: City4 | go do nothing.
1928-01-16 09:48 (Monday) | Place: City10 | go do nothing.
1906-04-19 15:35 (Thursday) | Place: City34 | go do nothing.
1987-03-30 08:58 (Monday) | Place: City13 | go do nothing.
1982-04-19 16:19 (Monday) | Place: Saint Pyotrsburg | go do nothing.
2049-08-19 09:43 (Thursday) | Place: Ufa | go do nothing.
1908-04-25 16:14 (Saturday) | Place: Saratov | go do nothing.
2071-04-24 18:04 (Friday) | Place: City31 | go do nothing.
2072-05-03 14:28 (Tuesday) | Place: City20 | go do nothing.
2050-03-16 08:53 (Wednesday) | Place: Saratov | go do nothing.
2078-08-06 18:16 (Saturday) | Place: Barnaul | go do nothing.
1926-08-17 15:51 (Tuesday) | Place: City21 | go do nothing.
1952-07-10 13:46 (Thursday) | Place: Khabarovsk | go do nothing.
1951-07-23 11:09 (Monday) | Place: City32 | go do nothing.
1928-01-20 12:47 (Friday) | Place: Makhachkala | go do nothing.
1972-08-30 19:21 (Wednesday) | Place: Krasnoyarsk | go do nothing.
1966-02-06 14:22 (Sunday) | Place: City28 | go do nothing.
1948-01-07 10:36 (Wednesday) | Place: City13 | go do nothing.
1994-12-10 19:18 (Saturday) | Place: City18 | go do nothing.
2019-06-30 19:19 (Sunday) | Place: Izhevsk | go do nothing.
1972-07-30 14:09 (Sunday) | Place: Rostov-on-Don | go do nothing.
2009-03-30 11:55 (Monday) | Place: Ryazan | go do nothing.
2007-09-27 19:44 (Thursday) | Place: City28 | go do nothing.
1977-01-02 10:13 (Sunday) | Place: City6 | go do nothing.
2064-03-06 14:47 (Thursday) | Place: Omsk | go do nothing.
2073-03-07 13:24 (Tuesday) | Place: Saint Pyotrsburg | go do nothing.
1930-06-03 19:44 (Tuesday) | Place: Barnaul | go do nothing.
1996-04-15 16:51 (Monday) | Place: City9 | go do nothing.
1962-06-01 12:17 (Friday) | Place: Saratov | go do nothing.
1927-01-13 15:27 (Thursday) | Place: Voronezh | go do nothing.
2064-04-13 09:42 (Sunday) | Place: City2 | go do nothing.
1943-04-06 13:14 (Tuesday) | Place: City11 | go do nothing.
1923-12-24 18:31 (Monday) | Place: Izhevsk | go do nothing.
2074-04-23 17:25 (Monday) | Place: Tula | go do nothing.
1923-10-19 11:33 (Friday) | Place: City4 | go do nothing.
1939-07-30 12:15 (Sunday) | Place: City1 | go do nothing.
2058-02-03 16:21 (Sunday) | Place: Perm | go do nothing.
2096-12-25 17:02 (Tuesday) | Place: Barnaul | go do nothing.
2009-06-11 19:35 (Thursday) | Place: Khabarovsk | go do nothing.
2069-11-04 09:21 (Monday) | Place: City14 | go do nothing.
1942-05-01 10:45 (Friday) | Place: Makhachkala | go do nothing.
2074-11-26 13:20 (Monday) | Place: Kemerovo | go do nothing.
2025-01-19 17:16 (Sunday) | Place: Tyumen | go do nothing.
2036-01-01 15:20 (Tuesday) | Place: City7 | go do nothing.
2096-05-21 14:50 (Monday) | Place: City21 | go do nothing.
1946-06-28 14:21 (Friday) | Place: Krasnodar | go do nothing.
2098-07-06 08:53 (Sunday) | Place: City3 | go do nothing.
2022-09-01 13:13 (Thursday) | Place: City10 | go do nothing.
1981-02-06 18:15 (Friday) | Place: Izhevsk | go do nothing.
1992-09-11 14:20 (Friday) | Place: City16 | go do nothing.
1981-06-19 10:33 (Friday) | Place: City21 | go do nothing.
1939-11-19 16:18 (Sunday) | Place: City27 | go do nothing.
1979-03-22 14:48 (Thursday) | Place: Vladivostok | go do nothing.
2044-12-17 14:58 (Saturday) | Place: Perm | go do nothing.
2004-05-12 09:50 (Wednesday) | Place: City22 | go do nothing.
1945-12-02 09:23 (Sunday) | Place: City14 | go do nothing.
2098-06-28 09:17 (Saturday) | Place: Voronezh | go do nothing.
2010-02-15 17:36 (Monday) | Place: Kaliningrad | go do nothing.
2069-09-17 14:04 (Tuesday) | Place: City28 | go do nothing.
1987-05-22 18:15 (Friday) | Place: Tomsk | go do nothing.
2094-02-22 14:11 (Monday) | Place: City7 | go do nothing.
1948-02-28 13:52 (Saturday) | Place: Tyumen | go do nothing.
2069-05-06 19:19 (Monday) | Place: City12 | go do nothing.
1941-10-14 09:30 (Tuesday) | Place: City8 | go do nothing.
1915-09-21 19:32 (Tuesday) | Place: Ufa | go do nothing.
1982-10-14 10:18 (Thursday) | Place: Perm | go do nothing.
1935-11-18 17:39 (Monday) | Place: Vladivostok | go do nothing.
2055-12-25 10:14 (Saturday) | Place: Kaliningrad | go do nothing.
2030-10-11 18:43 (Friday) | Place: Novosibirsk | go do nothing.
2032-03-14 18:59 (Sunday) | Place: Kazan | go do nothing.
1977-04-21 17:43 (Thursday) | Place: Tula | go do nothing.
2039-01-29 15:26 (Saturday) | Place: City28 | go do nothing.
2052-11-05 12:22 (Tuesday) | Place: Krasnoyarsk | go do nothing.
2016-09-01 15:44 (Thursday) | Place: Voronezh | go do nothing.
2011-05-23 13:32 (Monday) | Place: Ryazan | go do nothing.
2091-07-11 17:29 (Wednesday) | Place: City16 | go do nothing.
2067-08-10 08:52 (Wednesday) | Place: Cheboksary | go do nothing.
2017-05-28 11:32 (Sunday) | Place: Lipetsk | go do nothing.
2004-02-17 12:18 (Tuesday) | Place: City34 | go do nothing.
1944-01-09 19:20 (Sunday) | Place: City9 | go do nothing.
2032-11-25 12:24 (Thursday) | Place: City25 | go do nothing.
2002-11-03 09:17 (Sunday) | Place: Samara | go do nothing.
1975-05-21 13:31 (Wednesday) | Place: Novosibirsk | go do nothing.
2041-02-08 12:25 (Friday) | Place: City4 | go do nothing.
2037-09-25 12:34 (Friday) | Place: Moscow | go do nothing.
1938-03-15 14:37 (Tuesday) | Place: Saint Pyotrsburg | go do nothing.
2037-03-03 18:58 (Tuesday) | Place: City30 | go do nothing.
1914-11-24 17:40 (Tuesday) | Place: City24 | go do nothing.
2017-07-19 18:18 (Wednesday) | Place: Penza | go do nothing.
2030-11-08 16:09 (Friday) | Place: City24 | go do nothing.
2095-09-18 14:54 (Sunday) | Place: City32 | go do nothing.
1985-12-15 11:27 (Sunday) | Place: Orenburg | go do nothing.
2062-10-10 10:23 (Tuesday) | Place: Perm | go do nothing.
2091-08-08 10:21 (Wednesday) | Place: City31 | go do nothing.
1985-09-09 09:37 (Monday) | Place: City3 | go do nothing.
1996-01-21 11:21 (Sunday) | Place: Samara | go do nothing.
1956-05-10 11:55 (Thursday) | Place: City1 | go do nothing.
2001-03-02 16:39 (Friday) | Place: City17 | go do nothing.
2058-03-20 17:23 (Wednesday) | Place: Ryazan | go do nothing.
1922-11-16 18:09 (Thursday) | Place: Perm | go do nothing.
2046-02-17 15:20 (Saturday) | Place: Cheboksary | go do nothing.
2059-01-03 19:18 (Friday) | Place: City19 | go do nothing.
2028-02-22 14:40 (Tuesday) | Place: Krasnodar | go do nothing.
2029-02-07 10:26 (Wednesday) | Place: City25 | go do nothing.
1914-04-15 19:11 (Wednesday) | Place: City18 | go do nothing.
2051-07-20 16:03 (Thursday) | Place: Saratov | go do nothing.
2062-09-02 14:00 (Saturday) | Place: City16 | go do nothing.
1953-07-21 10:30 (Tuesday) | Place: Yekaterinburg | go do nothing.
2030-12-17 18:45 (Tuesday) | Place: Izhevsk | go do nothing.
1952-10-09 11:17 (Thursday) | Place: City27 | go do nothing.
2096-09-30 14:53 (Sunday) | Place: Kazan | go do nothing.
2039-11-02 18:06 (Wednesday) | Place: City25 | go do nothing.
2086-02-20 15:03 (Wednesday) | Place: City29 | go do nothing.
2089-09-28 19:38 (Wednesday) | Place: City8 | go do nothing.
2000-11-08 10:51 (Wednesday) | Place: Irkutsk | go do nothing.
1978-01-01 19:47 (Sunday) | Place: City25 | go do nothing.
1912-09-28 10:53 (Saturday) | Place: City28 | go do nothing.
2057-05-06 09:52 (Sunday) | Place: Izhevsk | go do nothing.
1987-12-01 18:45 (Tuesday) | Place: Saint Pyotrsburg | go do nothing.
1922-05-27 10:05 (Saturday) | Place: City15 | go do nothing.
1984-04-28 14:09 (Saturday) | Place: Naberezhnye Chelny | go do nothing.
2058-08-05 17:52 (Monday) | Place: City30 | go do nothing.
1998-04-19 16:35 (Sunday) | Place: Barnaul | go do nothing.
2026-06-24 15:07 (Wednesday) | Place: City24 | go do nothing.
1916-07-24 16:40 (Monday) | Place: Ryazan | go do nothing.
1974-01-18 09:19 (Friday) | Place: City13 | go do nothing.
2072-02-06 18:38 (Saturday) | Place: Yekaterinburg | go do nothing.
2094-10-11 09:27 (Monday) | Place: City30 | go do nothing.
2053-01-02 13:40 (Thursday) | Place: Saint Pyotrsburg | go do nothing.
1907-10-19 11:03 (Saturday) | Place: Irkutsk | go do nothing.
2094-07-28 19:12 (Wednesday) | Place: City22 | go do nothing.
2029-07-23 19:32 (Monday) | Place: City16 | go do nothing.
1949-12-27 19:23 (Tuesday) | Place: Rostov-on-Don | go do nothing.
1909-12-23 17:44 (Thursday) | Place: Omsk | go do nothing.
2002-12-20 08:42 (Friday) | Place: City31 | go do nothing.
1954-03-26 18:10 (Friday) | Place: Irkutsk | go do nothing.
2074-10-02 19:54 (Tuesday) | Place: Novosibirsk | go do nothing.
2023-04-08 09:47 (Saturday) | Place: Novosibirsk | go do nothing.
2055-01-20 13:21 (Wednesday) | Place: City32 | go do nothing.
2010-08-03 10:58 (Tuesday) | Place: Chelyabinsk | go do nothing.
1946-03-11 19:41 (Monday) | Place: Krasnoyarsk | go do nothing.
2076-05-04 16:18 (Monday) | Place: Novosibirsk | go do nothing.
1903-10-11 12:57 (Sunday) | Place: City13 | go do nothing.
1911-06-02 14:24 (Friday) | Place: Barnaul | go do nothing.
2036-03-10 11:14 (Monday) | Place: City13 | go do nothing.
1945-09-21 10:05 (Friday) | Place: City10 | go do nothing.
2098-05-29 14:11 (Thursday) | Place: City23 | go do nothing.
2093-09-11 09:39 (Friday) | Place: City3 | go do nothing.
1925-02-16 10:10 (Monday) | Place: City19 | go do nothing.
1916-08-16 08:45 (Wednesday) | Place: Tomsk | go do nothing.
1933-11-30 16:44 (Thursday) | Place: City8 | go do nothing.
2093-08-06 13:18 (Thursday) | Place: Lipetsk | go do nothing.
2022-02-11 16:47 (Friday) | Place: City21 | go do nothing.
1916-09-20 18:48 (Wednesday) | Place: Ryazan | go do nothing.
2075-12-18 17:10 (Wednesday) | Place: Perm | go do nothing.
1916-01-05 11:45 (Wednesday) | Place: Chelyabinsk | go do nothing.
1982-08-28 15:34 (Saturday) | Place: Barnaul | go do nothing.
2076-12-08 14:30 (Tuesday) | Place: City9 | go do nothing.
2050-04-13 12:30 (Wednesday) | Place: Lipetsk | go do nothing.
2064-06-06 17:21 (Friday) | Place: Perm | go do nothing.
2061-06-16 13:11 (Thursday) | Place: City34 | go do nothing.
1963-02-24 09:36 (Sunday) | Place: Kemerovo | go do nothing.
1994-05-12 13:10 (Thursday) | Place: Ryazan | go do nothing.
1986-08-09 15:16 (Saturday) | Place: Krasnodar | go do nothing.
2094-07-24 16:43 (Saturday) | Place: Barnaul | go do nothing.
1934-06-14 10:27 (Thursday) | Place: Novosibirsk | go do nothing.
1937-10-25 16:48 (Monday) | Place: City32 | go do nothing.
1950-08-28 09:31 (Monday) | Place: City14 | go do nothing.
2075-08-24 12:26 (Saturday) | Place: City12 | go do nothing.
2007-06-24 19:18 (Sunday) | Place: Krasnodar | go do nothing.
1992-06-20 09:25 (Saturday) | Place: Barnaul | go do nothing.
1976-08-02 10:05 (Monday) | Place: City7 | go do nothing.
2030-05-29 09:10 (Wednesday) | Place: Izhevsk | go do nothing.
2008-05-20 15:06 (Tuesday) | Place: City5 | go do nothing.
2051-04-14 19:02 (Friday) | Place: Barnaul | go do nothing.
1992-08-17 10:50 (Monday) | Place: Kemerovo | go do nothing.
1955-11-10 09:17 (Thursday) | Place: City15 | go do nothing.
1955-08-02 12:44 (Tuesday) | Place: City17 | go do nothing.
1965-01-30 17:53 (Saturday) | Place: City25 | go do nothing.
1982-09-04 11:01 (Saturday) | Place: Perm | go do nothing.
1922-08-13 09:27 (Sunday) | Place: Saint Pyotrsburg | go do nothing.
1925-11-02 09:54 (Monday) | Place: Kirov | go do nothing.
2070-12-10 18:02 (Wednesday) | Place: Kemerovo | go do nothing.
1919-03-26 10:53 (Wednesday) | Place: City33 | go do nothing.
2006-10-29 09:16 (Sunday) | Place: Irkutsk | go do nothing.
1914-06-12 19:28 (Friday) | Place: City12 | go do nothing.
2038-04-12 17:20 (Monday) | Place: Saint Pyotrsburg | go do nothing.
2017-05-16 09:45 (Tuesday) | Place: Chelyabinsk | go do nothing.
2093-12-07 17:53 (Monday) | Place: City5 | go do nothing.
1951-02-09 19:25 (Friday) | Place: City32 | go do nothing.
1988-04-24 15:43 (Sunday) | Place: City12 | go do nothing.
1931-02-16 18:42 (Monday) | Place: City25 | go do nothing.
2045-02-14 18:57 (Tuesday) | Place: Tula | go do nothing.
1984-05-02 09:20 (Wednesday) | Place: City24 | go do nothing.
2028-05-01 19:46 (Monday) | Place: Penza | go do nothing.
2086-05-25 18:56 (Saturday) | Place: Ulyanovsk | go do nothing.
2053-12-21 18:41 (Sunday) | Place: Penza | go do nothing.
2039-08-24 17:15 (Wednesday) | Place: Lipetsk | go do nothing.
2068-08-05 16:49 (Sunday) | Place: Perm | go do nothing.
1914-02-21 12:16 (Saturday) | Place: City16 | go do nothing.
1939-05-31 09:54 (Wednesday) | Place: Yekaterinburg | go do nothing.
1929-12-01 18:36 (Sunday) | Place: City33 | go do nothing.
2080-06-16 19:22 (Sunday) | Place: Cheboksary | go do nothing.
1974-03-03 11:20 (Sunday) | Place: City16 | go do nothing.
2022-06-30 11:22 (Thursday) | Place: Moscow | go do nothing.
1935-09-12 16:10 (Thursday) | Place: City18 | go do nothing.
1956-08-08 12:41 (Wednesday) | Place: Barnaul | go do nothing.
1920-03-28 08:46 (Sunday) | Place: Moscow | go do nothing.
1980-02-19 18:33 (Tuesday) | Place: Penza | go do nothing.
1913-12-06 12:32 (Saturday) | Place: City2 | go do nothing.
1922-02-16 12:21 (Thursday) | Place: City2 | go do nothing.
2004-01-30 09:21 (Friday) | Place: City28 | go do nothing.
1923-05-07 12:25 (Monday) | Place: Tomsk | go do nothing.
2080-02-01 09:00 (Thursday) | Place: City4 | go do nothing.
1911-05-23 12:43 (Tuesday) | Place: City22 | go do nothing.
1990-08-24 13:37 (Friday) | Place: Irkutsk | go do nothing.
2081-12-15 10:50 (Monday) | Place: Ulyanovsk | go do nothing.
2004-05-22 16:04 (Saturday) | Place: City21 | go do nothing.
2042-08-06 16:37 (Wednesday) | Place: City4 | go do nothing.
2012-11-11 09:11 (Sunday) | Place: City18 | go do nothing.
2063-12-07 19:24 (Friday) | Place: Omsk | go do nothing.
2059-07-09 08:39 (Wednesday) | Place: Nizhny Novgorod | go do nothing.
2009-03-24 19:17 (Tuesday) | Place: Tomsk | go do nothing.
2090-10-25 09:06 (Wednesday) | Place: Krasnoyarsk | go do nothing.
2043-12-29 16:54 (Tuesday) | Place: Cheboksary | go do nothing.
1908-08-31 13:45 (Monday) | Place: Novosibirsk | go do nothing.
1987-01-29 10:02 (Thursday) | Place: Kaliningrad | go do nothing.
1991-06-07 18:29 (Friday) | Place: City1 | go do nothing.
1917-04-19 14:38 (Thursday) | Place: City29 | go do nothing.
1999-07-02 12:02 (Friday) | Place: City25 | go do nothing.
1948-11-07 08:57 (Sunday) | Place: City2 | go do nothing.
2091-05-31 10:47 (Thursday) | Place: Krasnodar | go do nothing.
2044-12-01 08:42 (Thursday) | Place: Ryazan | go do nothing.
2022-06-29 13:53 (Wednesday) | Place: City18 | go do nothing.
2027-04-02 14:55 (Friday) | Place: Astrakhan | go do nothing.
1996-10-22 11:23 (Tuesday) | Place: Krasnodar | go do nothing.
1929-04-06 19:36 (Saturday) | Place: Tyumen | go do nothing.
2052-11-20 16:02 (Wednesday) | Place: City3 | go do nothing.
1959-10-09 12:02 (Friday) | Place: City21 | go do nothing.
2017-09-11 19:15 (Monday) | Place: City15 | go do nothing.
1940-05-07 17:49 (Tuesday) | Place: Tomsk | go do nothing.
2085-12-12 10:36 (Wednesday) | Place: Krasnoyarsk | go do nothing.
1975-07-27 10:17 (Sunday) | Place: Rostov-on-Don | go do nothing.
2059-10-02 19:10 (Thursday) | Place: Omsk | go do nothing.
2068-12-18 09:50 (Tuesday) | Place: Omsk | go do nothing.
1966-11-06 09:29 (Sunday) | Place: City24 | go do nothing.
1929-03-23 14:12 (Saturday) | Place: City19 | go do nothing.
2013-08-05 13:55 (Monday) | Place: City31 | go do nothing.
1958-07-13 15:12 (Sunday) | Place: City5 | go do nothing.
2076-10-14 15:12 (Wednesday) | Place: Ulyanovsk | go do nothing.
1960-05-28 11:01 (Saturday) | Place: Krasnoyarsk | go do nothing.
2061-01-07 17:45 (Friday) | Place: City26 | go do nothing.
2081-06-16 19:35 (Monday) | Place: City11 | go do nothing.
2079-08-05 10:48 (Saturday) | Place: City19 | go do nothing.
1952-01-17 13:47 (Thursday) | Place: City19 | go do nothing.
2009-06-21 17:05 (Sunday) | Place: City33 | go do nothing.
2042-05-10 10:05 (Saturday) | Place: City15 | go do nothing.
2091-07-27 17:27 (Friday) | Place: Ryazan | go do nothing.
1927-11-08 13:04 (Tuesday) | Place: City27 | go do nothing.
2003-09-04 17:07 (Thursday) | Place: City24 | go do nothing.
1974-05-12 14:54 (Sunday) | Place: Perm | go do nothing.
1951-11-30 18:30 (Friday) | Place: Samara | go do nothing.
1921-08-02 13:03 (Tuesday) | Place: City14 | go do nothing.
1944-11-02 09:17 (Thursday) | Place: Perm | go do nothing.
2046-02-14 14:51 (Wednesday) | Place: City10 | go do nothing.
2022-08-18 12:16 (Thursday) | Place: City19 | go do nothing.
1969-12-30 10:23 (Tuesday) | Place: City31 | go do nothing.
2096-01-06 15:33 (Friday) | Place: Krasnoyarsk | go do nothing.
2061-02-23 17:46 (Wednesday) | Place: City8 | go do nothing.
2077-06-17 19:10 (Thursday) | Place: Lipetsk | go do nothing.
1969-02-14 14:30 (Friday) | Place: Izhevsk | go do nothing.
1933-05-29 08:55 (Monday) | Place: City25 | go do nothing.
1929-04-29 16:40 (Monday) | Place: City4 | go do nothing.
2016-08-04 17:36 (Thursday) | Place: Moscow | go do nothing.
2037-01-01 12:59 (Thursday) | Place: Astrakhan | go do nothing.
1904-08-23 11:13 (Tuesday) | Place: City15 | go do nothing.
2006-04-29 14:33 (Saturday) | Place: City1 | go do nothing.
2095-09-21 11:19 (Wednesday) | Place: City13 | go do nothing.
2077-06-20 15:06 (Sunday) | Place: Yekaterinburg | go do nothing.
2068-09-24 09:08 (Monday) | Place: City12 | go do nothing.
2085-12-29 09:57 (Saturday) | Place: City31 | go do nothing.
2025-01-03 18:58 (Friday) | Place: Irkutsk | go do nothing.
1960-10-20 12:56 (Thursday) | Place: Khabarovsk | go do nothing.
2096-12-10 08:55 (Monday) | Place: City25 | go do nothing.
1907-09-23 18:16 (Monday) | Place: City32 | go do nothing.
2026-08-03 09:10 (Monday) | Place: City5 | go do nothing.
2043-06-29 11:09 (Monday) | Place: Voronezh | go do nothing.
1995-07-09 17:36 (Sunday) | Place: Kemerovo | go do nothing.
1941-02-22 18:32 (Saturday) | Place: City8 | go do nothing.
2097-01-13 11:44 (Sunday) | Place: City7 | go do nothing.
2029-09-18 09:14 (Tuesday) | Place: Saratov | go do nothing.
1917-05-02 10:10 (Wednesday) | Place: City24 | go do nothing.
1981-12-28 17:55 (Monday) | Place: City5 | go do nothing.
2032-09-06 17:24 (Monday) | Place: City17 | go do nothing.
2071-09-07 10:25 (Monday) | Place: City16 | go do nothing.
1948-11-16 12:00 (Tuesday) | Place: City30 | go do nothing.
2062-11-22 17:25 (Wednesday) | Place: Samara | go do nothing.
2044-07-20 17:43 (Wednesday) | Place: Kazan | go do nothing.
2030-07-06 12:54 (Saturday) | Place: Vladivostok | go do nothing.
2049-11-21 13:03 (Sunday) | Place: City14 | go do nothing.
1969-02-11 14:37 (Tuesday) | Place: Yekaterinburg | go do nothing.
2016-10-15 12:00 (Saturday) | Place: City32 | go do nothing.
2042-11-04 14:32 (Tuesday) | Place: Tomsk | go do nothing.
2015-03-08 09:10 (Sunday) | Place: City5 | go do nothing.
1940-06-13 19:39 (Thursday) | Place: Makhachkala | go do nothing.
1982-02-28 13:12 (Sunday) | Place: City30 | go do nothing.
2017-05-29 18:01 (Monday) | Place: Rostov-on-Don | go do nothing.
2060-08-01 16:46 (Sunday) | Place: City20 | go do nothing.
2003-07-18 08:41 (Friday) | Place: Ulyanovsk | go do nothing.
2057-06-03 15:11 (Sunday) | Place: Rostov-on-Don | go do nothing.
1950-05-14 11:26 (Sunday) | Place: City24 | go do nothing.
2043-11-19 16:43 (Thursday) | Place: City11 | go do nothing.
2054-02-23 14:52 (Monday) | Place: Orenburg | go do nothing.
2034-10-20 18:00 (Friday) | Place: City25 | go do nothing.
2090-11-17 13:36 (Friday) | Place: City5 | go do nothing.
2067-09-28 16:21 (Wednesday) | Place: City9 | go do nothing.
1961-05-03 16:13 (Wednesday) | Place: City34 | go do nothing.
1992-11-03 18:13 (Tuesday) | Place: City22 | go do nothing.
2011-09-06 10:14 (Tuesday) | Place: Astrakhan | go do nothing.
2053-05-03 13:23 (Saturday) | Place: City24 | go do nothing.
1945-09-02 11:12 (Sunday) | Place: Cheboksary | go do nothing.
1987-06-05 12:16 (Friday) | Place: Astrakhan | go do nothing.
1919-10-22 17:07 (Wednesday) | Place: City22 | go do nothing.
2003-12-13 09:46 (Saturday) | Place: City26 | go do nothing.
1947-01-21 10:15 (Tuesday) | Place: City4 | go do nothing.
1986-11-14 18:30 (Friday) | Place: City34 | go do nothing.
1944-09-22 18:09 (Friday) | Place: City26 | go do nothing.
1980-10-27 09:05 (Monday) | Place: City28 | go do nothing.
2040-10-07 12:54 (Sunday) | Place: Samara | go do nothing.
2011-01-13 13:23 (Thursday) | Place: Lipetsk | go do nothing.
1925-07-22 12:23 (Wednesday) | Place: City9 | go do nothing.
2026-05-18 09:13 (Monday) | Place: Ryazan | go do nothing.
